movieID,Movie,Watched,ReleaseDate,Popularity,Genre,Synopsis,Director,IMDB_Rating,Poster,ID,IMDB_ID,IMDB_Page
47,Aliens,checked,1986-07-18,31.877,"Action,Thriller,Science Fiction","When Ripley's lifepod is found by a salvage crew over 50 years later, she finds that terra-formers are on the very planet they found the alien species. When the company sends a family of colonists out to investigate her story—all contact is lost with the planet and colonists. They enlist Ripley and the colonial marines to return and search for answers.",,,https://image.tmdb.org/t/p/original//xwdPTZyyBa4U3V2N0EmozTCeEAY.jpg,679,,
48,Platoon,checked,1986-12-19,26.381,"Drama,War,Action","As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man.",,,https://image.tmdb.org/t/p/original//8hDlxJZYCJJLRHbSk7hsRQ9SNp7.jpg,792,,
49,Big Trouble in Little China,checked,1986-05-30,21.305,"Action,Adventure,Comedy,Fantasy","When trucker Jack Burton agreed to take his friend, Wang Chi, to pick up his fiancee at the airport, he never expected to get involved in a supernatural battle between good and evil. Wang's fiancee has emerald green eyes, which make her a perfect target for immortal sorcerer Lo Pan and his three invincible cronies. Lo Pan must marry a girl with green eyes so he can regain his physical form.",,,https://image.tmdb.org/t/p/original//gI2Qs1yTTj3NcESJyttCkbmJ4k9.jpg,6978,,
50,Top Gun,checked,1986-05-16,21.227,"Action,Drama","For Lieutenant Pete 'Maverick' Mitchell and his friend and co-pilot Nick 'Goose' Bradshaw, being accepted into an elite training school for fighter pilots is a dream come true. But a tragedy, as well as personal demons, will threaten Pete's dreams of becoming an ace pilot.",,,https://image.tmdb.org/t/p/original//xUuHj3CgmZQ9P2cMaqQs4J0d4Zc.jpg,744,,
51,The Fly,checked,1986-08-15,18.872,"Horror,Science Fiction","When Seth Brundle makes a huge scientific and technological breakthrough in teleportation, he decides to test it on himself. Unbeknownst to him, a common housefly manages to get inside the device and the two become one.",,,https://image.tmdb.org/t/p/original//wLnulyRMhZfrXr7qaufBFv5H1us.jpg,9426,,
52,Police Academy 3: Back in Training,checked,1986-03-20,17.633,"Comedy,Crime","When police funding is cut, the Governor announces he must close one of the academies. To make it fair, the two police academies must compete against each other to stay in operation. Mauser persuades two officers in Lassard's academy to better his odds, but things don't quite turn out as expected...",,,https://image.tmdb.org/t/p/original//foc3auYhbC8j7BG8nrrBhXxI7qO.jpg,12118,,
53,Short Circuit,checked,1986-05-09,16.626,"Comedy,Family,Science Fiction","After a lightning bolt zaps a robot named Number 5, the lovable machine starts to think he's human and escapes the lab. Hot on his trail is his designer, Newton, who hopes to get to Number 5 before the military does. In the meantime, a spunky animal lover mistakes the robot for an alien and takes him in, teaching her new guest about life on Earth.",,,https://image.tmdb.org/t/p/original//e3eimdUK6lLe0iaSlLrYVQF3yeL.jpg,2605,,
54,The Name of the Rose,checked,1986-09-24,16.499,"Drama,Mystery,Thriller","14th-century Franciscan monk William of Baskerville and his young novice arrive at a conference to find that several monks have been murdered under mysterious circumstances. To solve the crimes, William must rise up against the Church's authority and fight the shadowy conspiracy of monastery monks using only his intelligence – which is considerable.",,,https://image.tmdb.org/t/p/original//lJFoMOZoiISnBeKYKMlrzvu5PNy.jpg,192,,
55,Crocodile Dundee,checked,1986-09-26,15.69,"Adventure,Comedy","When a New York reporter plucks crocodile hunter Dundee from the Australian Outback for a visit to the Big Apple, it's a clash of cultures and a recipe for good-natured comedy as naïve Dundee negotiates the concrete jungle. Dundee proves that his instincts are quite useful in the city and adeptly handles everything from wily muggers to high-society snoots without breaking a sweat.",,,https://image.tmdb.org/t/p/original//kiwOZXU7ddSrWE3ryOQM8sIg1sZ.jpg,9671,,
56,The Great Mouse Detective,checked,1986-07-02,15.199,"Adventure,Animation,Mystery,Family","When the diabolical Professor Ratigan kidnaps London's master toymaker, the brilliant master of disguise Basil of Baker Street and his trusted sidekick Dawson try to elude the ultimate trap and foil the perfect crime.",,,https://image.tmdb.org/t/p/original//9uDr7vfjCFr39KGCcqrk44Cg7fQ.jpg,9994,,
